;product_id;product_category;care_label;main_prod_cat;log_parse_cat;raw_data;parsed;clean_data;len_raw_clean_text;test_length;rebuild_text;len_rebuild;test_test_pc;test_missing_weight
0;#113;PANTS;"Main: 40% Cotton, 60% Polyester, 290 g/m².
Contrast: 53% Cotton 47% Polyester, 290 g/m².
Reinforcement Knee: 100% CORDURA®-Polyamide, 205 g/m².";PANTS;True;"Main: 40% Cotton, 60% Polyester, 290 g/m².
Contrast: 53% Cotton 47% Polyester, 290 g/m².
Reinforcement Knee: 100% CORDURA®-Polyamide, 205 g/m².";{'default': {'Main_0': {'Materials': [{'material_full': 'cotton', 'percentage': 40.0, 'material_class': ['cotton']}, {'material_full': 'polyester', 'percentage': 60.0, 'material_class': ['polyester']}], 'Weight': 290, 'Test_pc': True}, 'Contrast_0': {'Materials': [{'material_full': 'cotton', 'percentage': 53.0, 'material_class': ['cotton']}, {'material_full': 'polyester', 'percentage': 47.0, 'material_class': ['polyester']}], 'Weight': 290, 'Test_pc': True}, 'Reinforcement_0': {'Materials': [{'material_full': 'cordura polyamide', 'percentage': 100.0, 'material_class': ['polyamide']}], 'Weight': 205, 'Test_pc': True}}};main 40% cotton, 60% polyester, 290 g/m2.contrast 53% cotton 47% polyester, 290 g/m2.reinforcement knee 100% cordura®polyamide, 205 g/m2.;137;True;main_0 40% cotton, 60% polyester, 290 g/m2. contrast_0 53% cotton, 47% polyester, 290 g/m2. reinforcement_0 100% cordura polyamide, 205 g/m2.;141;0;0
1;#212;PANTS;"Main: DuraTwill, 52% Cotton 48% Polyamide, 240 g/m².
Reinforcement: 100% CORDURA®-Polyamide.";PANTS;True;"Main: DuraTwill, 52% Cotton 48% Polyamide, 240 g/m².
Reinforcement: 100% CORDURA®-Polyamide.";{'default': {'Main_0': {'Materials': [{'material_full': 'cotton', 'percentage': 52.0, 'material_class': ['cotton']}, {'material_full': 'polyamide', 'percentage': 48.0, 'material_class': ['polyamide']}], 'Weight': 240, 'Test_pc': True}, 'Reinforcement_0': {'Materials': [{'material_full': 'cordura polyamide', 'percentage': 100.0, 'material_class': ['polyamide']}], 'Weight': None, 'Test_pc': True}}};main duratwill, 52% cotton 48% polyamide, 240 g/m2.reinforcement 100% cordura®polyamide.;88;True;main_0 52% cotton, 48% polyamide, 240 g/m2. reinforcement_0 100% cordura polyamide.;83;0;1
2;#213;PANTS;"Main: 40% Cotton, 60% Polyester, 290 g/m².
Contrast: 53% Cotton, 47% Polyester, 290 g/m².
Reinforcement Knee: 100% CORDURA®-Polyamide, 205 g/m².";PANTS;True;"Main: 40% Cotton, 60% Polyester, 290 g/m².
Contrast: 53% Cotton, 47% Polyester, 290 g/m².
Reinforcement Knee: 100% CORDURA®-Polyamide, 205 g/m².";{'default': {'Main_0': {'Materials': [{'material_full': 'cotton', 'percentage': 40.0, 'material_class': ['cotton']}, {'material_full': 'polyester', 'percentage': 60.0, 'material_class': ['polyester']}], 'Weight': 290, 'Test_pc': True}, 'Contrast_0': {'Materials': [{'material_full': 'cotton', 'percentage': 53.0, 'material_class': ['cotton']}, {'material_full': 'polyester', 'percentage': 47.0, 'material_class': ['polyester']}], 'Weight': 290, 'Test_pc': True}, 'Reinforcement_0': {'Materials': [{'material_full': 'cordura polyamide', 'percentage': 100.0, 'material_class': ['polyamide']}], 'Weight': 205, 'Test_pc': True}}};main 40% cotton, 60% polyester, 290 g/m2.contrast 53% cotton, 47% polyester, 290 g/m2.reinforcement knee 100% cordura®polyamide, 205 g/m2.;138;True;main_0 40% cotton, 60% polyester, 290 g/m2. contrast_0 53% cotton, 47% polyester, 290 g/m2. reinforcement_0 100% cordura polyamide, 205 g/m2.;141;0;0
3;#214;PANTS;Main: Canvas+, 60% Cotton, 40% Polyester, 340 g/m². Reinforcement: 100% CORDURA®-Polyamide.;PANTS;True;Main: Canvas+, 60% Cotton, 40% Polyester, 340 g/m². Reinforcement: 100% CORDURA®-Polyamide.;{'default': {'Main_0': {'Materials': [{'material_full': 'cotton', 'percentage': 60.0, 'material_class': ['cotton']}, {'material_full': 'polyester', 'percentage': 40.0, 'material_class': ['polyester']}], 'Weight': 340, 'Test_pc': True}, 'Reinforcement_0': {'Materials': [{'material_full': 'cordura polyamide', 'percentage': 100.0, 'material_class': ['polyamide']}], 'Weight': None, 'Test_pc': True}}};main canvas, 60% cotton, 40% polyester, 340 g/m2. reinforcement 100% cordura®polyamide.;87;True;main_0 60% cotton, 40% polyester, 340 g/m2. reinforcement_0 100% cordura polyamide.;83;0;1
4;#312;PANTS;"Main: DuraTwill, 52% Cotton 48% Polyamide, 240 g/m². 
Reinforcement: 100% CORDURA®-Polyamide.";PANTS;True;"Main: DuraTwill, 52% Cotton 48% Polyamide, 240 g/m². 
Reinforcement: 100% CORDURA®-Polyamide.";{'default': {'Main_0': {'Materials': [{'material_full': 'cotton', 'percentage': 52.0, 'material_class': ['cotton']}, {'material_full': 'polyamide', 'percentage': 48.0, 'material_class': ['polyamide']}], 'Weight': 240, 'Test_pc': True}, 'Reinforcement_0': {'Materials': [{'material_full': 'cordura polyamide', 'percentage': 100.0, 'material_class': ['polyamide']}], 'Weight': None, 'Test_pc': True}}};main duratwill, 52% cotton 48% polyamide, 240 g/m2. reinforcement 100% cordura®polyamide.;89;True;main_0 52% cotton, 48% polyamide, 240 g/m2. reinforcement_0 100% cordura polyamide.;83;0;1
5;#1100;JACKET;Main: 100% polyamide, 220 g/m2. Reinforcement: 100% polyamide CORDURA®, 205 g/m². Lining: 100% solution dyed polyamide 65 g/m². Cuff stretch: 90% polyester 10% elastane, 253 g/m².  Insulation: 50% 37.5® polyester, 35% REPREVE® recycled polyester, 15% polyester, 120 g/m². Mesh: 100% polyester, 367 g/m². Pocket lining: 100% polyester, 215 g/m². ;JACKET;True;Main: 100% polyamide, 220 g/m2. Reinforcement: 100% polyamide CORDURA®, 205 g/m². Lining: 100% solution dyed polyamide 65 g/m². Cuff stretch: 90% polyester 10% elastane, 253 g/m².  Insulation: 50% 37.5® polyester, 35% REPREVE® recycled polyester, 15% polyester, 120 g/m². Mesh: 100% polyester, 367 g/m². Pocket lining: 100% polyester, 215 g/m². ;{'default': {'Main_0': {'Materials': [{'material_full': 'polyamide', 'percentage': 100.0, 'material_class': ['polyamide']}], 'Weight': 220, 'Test_pc': True}, 'Reinforcement_0': {'Materials': [{'material_full': 'polyamide cordura', 'percentage': 100.0, 'material_class': ['polyamide']}], 'Weight': 205, 'Test_pc': True}, 'Lining_0': {'Materials': [{'material_full': 'solution dyed polyamide', 'percentage': 100.0, 'material_class': ['polyamide']}], 'Weight': 65, 'Test_pc': True}, 'Cuff stretch_0': {'Materials': [{'material_full': 'polyester', 'percentage': 90.0, 'material_class': ['polyester']}, {'material_full': 'elastane', 'percentage': 10.0, 'material_class': ['elastane']}], 'Weight': 253, 'Test_pc': True}, 'Insulation_0': {'Materials': [{'material_full': '37.5 polyester', 'percentage': 50.0, 'material_class': ['polyester']}, {'material_full': 'repreve recycled polyester', 'percentage': 35.0, 'material_class': ['polyester']}, {'material_full': 'polyester', 'percentage': 15.0, 'material_class': ['polyester']}], 'Weight': 120, 'Test_pc': True}, 'Mesh_0': {'Materials': [{'material_full': 'polyester', 'percentage': 100.0, 'material_class': ['polyester']}], 'Weight': 367, 'Test_pc': True}, 'Pocket lining_0': {'Materials': [{'material_full': 'polyester', 'percentage': 100.0, 'material_class': ['polyester']}], 'Weight': 215, 'Test_pc': True}}};main 100% polyamide, 220 g/m2. reinforcement 100% polyamide cordura®, 205 g/m2. lining 100% solution dyed polyamide 65 g/m2. cuff stretch 90% polyester 10% elastane, 253 g/m2. insulation 50% 37.5® polyester, 35% repreve® recycled polyester, 15% polyester, 120 g/m2. mesh 100% polyester, 367 g/m2. pocket lining 100% polyester, 215 g/m2.;336;True;main_0 100% polyamide, 220 g/m2. reinforcement_0 100% polyamide cordura, 205 g/m2. lining_0 100% solution dyed polyamide, 65 g/m2. cuff stretch_0 90% polyester, 10% elastane, 253 g/m2. insulation_0 50% 37.5 polyester, 35% repreve recycled polyester, 15% polyester, 120 g/m2. mesh_0 100% polyester, 367 g/m2. pocket lining_0 100% polyester, 215 g/m2.;349;0;0
6;#1102;JACKET;Main: 100% polyamide, 220 g/m2. Reinforcement: 100% polyamide CORDURA®, 205 g/m². Lining: 100% solution dyed polyamide 65 g/m². Cuff stretch: 90% polyester 10% elastane, 253 g/m².  Insulation: 50% 37.5® polyester, 35% REPREVE® recycled polyester, 15% polyester, 120 g/m². Mesh: 100% polyester, 367 g/m². Pocket lining: 100% polyester, 215 g/m². ;JACKET;True;Main: 100% polyamide, 220 g/m2. Reinforcement: 100% polyamide CORDURA®, 205 g/m². Lining: 100% solution dyed polyamide 65 g/m². Cuff stretch: 90% polyester 10% elastane, 253 g/m².  Insulation: 50% 37.5® polyester, 35% REPREVE® recycled polyester, 15% polyester, 120 g/m². Mesh: 100% polyester, 367 g/m². Pocket lining: 100% polyester, 215 g/m². ;{'default': {'Main_0': {'Materials': [{'material_full': 'polyamide', 'percentage': 100.0, 'material_class': ['polyamide']}], 'Weight': 220, 'Test_pc': True}, 'Reinforcement_0': {'Materials': [{'material_full': 'polyamide cordura', 'percentage': 100.0, 'material_class': ['polyamide']}], 'Weight': 205, 'Test_pc': True}, 'Lining_0': {'Materials': [{'material_full': 'solution dyed polyamide', 'percentage': 100.0, 'material_class': ['polyamide']}], 'Weight': 65, 'Test_pc': True}, 'Cuff stretch_0': {'Materials': [{'material_full': 'polyester', 'percentage': 90.0, 'material_class': ['polyester']}, {'material_full': 'elastane', 'percentage': 10.0, 'material_class': ['elastane']}], 'Weight': 253, 'Test_pc': True}, 'Insulation_0': {'Materials': [{'material_full': '37.5 polyester', 'percentage': 50.0, 'material_class': ['polyester']}, {'material_full': 'repreve recycled polyester', 'percentage': 35.0, 'material_class': ['polyester']}, {'material_full': 'polyester', 'percentage': 15.0, 'material_class': ['polyester']}], 'Weight': 120, 'Test_pc': True}, 'Mesh_0': {'Materials': [{'material_full': 'polyester', 'percentage': 100.0, 'material_class': ['polyester']}], 'Weight': 367, 'Test_pc': True}, 'Pocket lining_0': {'Materials': [{'material_full': 'polyester', 'percentage': 100.0, 'material_class': ['polyester']}], 'Weight': 215, 'Test_pc': True}}};main 100% polyamide, 220 g/m2. reinforcement 100% polyamide cordura®, 205 g/m2. lining 100% solution dyed polyamide 65 g/m2. cuff stretch 90% polyester 10% elastane, 253 g/m2. insulation 50% 37.5® polyester, 35% repreve® recycled polyester, 15% polyester, 120 g/m2. mesh 100% polyester, 367 g/m2. pocket lining 100% polyester, 215 g/m2.;336;True;main_0 100% polyamide, 220 g/m2. reinforcement_0 100% polyamide cordura, 205 g/m2. lining_0 100% solution dyed polyamide, 65 g/m2. cuff stretch_0 90% polyester, 10% elastane, 253 g/m2. insulation_0 50% 37.5 polyester, 35% repreve recycled polyester, 15% polyester, 120 g/m2. mesh_0 100% polyester, 367 g/m2. pocket lining_0 100% polyester, 215 g/m2.;349;0;0
7;#1106;JACKET;"Main: 100% Recycled Polyamide, 175 gr. Reinforcement: 100% CORDURA® Polyamide, 190 gr. Insulation: 90% REPREVE® recycled polyester, 10% Recycled Polyester, 120 gr in body and sleeves. Lining: 100% Polyamide.
";JACKET;True;"Main: 100% Recycled Polyamide, 175 gr. Reinforcement: 100% CORDURA® Polyamide, 190 gr. Insulation: 90% REPREVE® recycled polyester, 10% Recycled Polyester, 120 gr in body and sleeves. Lining: 100% Polyamide.
";{'default': {'Main_0': {'Materials': [{'material_full': 'recycled polyamide', 'percentage': 100.0, 'material_class': ['polyamide']}], 'Weight': 175, 'Test_pc': True}, 'Reinforcement_0': {'Materials': [{'material_full': 'cordura polyamide', 'percentage': 100.0, 'material_class': ['polyamide']}], 'Weight': 190, 'Test_pc': True}, 'Insulation_0': {'Materials': [{'material_full': 'repreve recycled polyester', 'percentage': 90.0, 'material_class': ['polyester']}, {'material_full': 'recycled polyester in body and sleeves', 'percentage': 10.0, 'material_class': ['polyester']}], 'Weight': 120, 'Test_pc': True}, 'Lining_0': {'Materials': [{'material_full': 'polyamide', 'percentage': 100.0, 'material_class': ['polyamide']}], 'Weight': None, 'Test_pc': True}}};main 100% recycled polyamide, 175g/m2 reinforcement 100% cordura® polyamide, 190g/m2 insulation 90% repreve® recycled polyester, 10% recycled polyester, 120g/m2 in body and sleeves. lining 100% polyamide.;204;True;main_0 100% recycled polyamide, 175 g/m2. reinforcement_0 100% cordura polyamide, 190 g/m2. insulation_0 90% repreve recycled polyester, 10% recycled polyester in body and sleeves, 120 g/m2. lining_0 100% polyamide.;215;0;1
8;#1107;JACKET;Main: 100% polyamide, 220 g/m2. Reinforcement: 100% polyamide CORDURA®, 205 g/m². Lining: 100% solution dyed polyamide 65 g/m². Cuff stretch: 90% polyester 10% elastane, 253 g/m².  Insulation: 50% 37.5® polyester, 35% REPREVE® recycled polyester, 15% polyester, 120 g/m². Mesh: 100% polyester, 367 g/m². Pocket lining: 100% polyester, 215 g/m². ;JACKET;True;Main: 100% polyamide, 220 g/m2. Reinforcement: 100% polyamide CORDURA®, 205 g/m². Lining: 100% solution dyed polyamide 65 g/m². Cuff stretch: 90% polyester 10% elastane, 253 g/m².  Insulation: 50% 37.5® polyester, 35% REPREVE® recycled polyester, 15% polyester, 120 g/m². Mesh: 100% polyester, 367 g/m². Pocket lining: 100% polyester, 215 g/m². ;{'default': {'Main_0': {'Materials': [{'material_full': 'polyamide', 'percentage': 100.0, 'material_class': ['polyamide']}], 'Weight': 220, 'Test_pc': True}, 'Reinforcement_0': {'Materials': [{'material_full': 'polyamide cordura', 'percentage': 100.0, 'material_class': ['polyamide']}], 'Weight': 205, 'Test_pc': True}, 'Lining_0': {'Materials': [{'material_full': 'solution dyed polyamide', 'percentage': 100.0, 'material_class': ['polyamide']}], 'Weight': 65, 'Test_pc': True}, 'Cuff stretch_0': {'Materials': [{'material_full': 'polyester', 'percentage': 90.0, 'material_class': ['polyester']}, {'material_full': 'elastane', 'percentage': 10.0, 'material_class': ['elastane']}], 'Weight': 253, 'Test_pc': True}, 'Insulation_0': {'Materials': [{'material_full': '37.5 polyester', 'percentage': 50.0, 'material_class': ['polyester']}, {'material_full': 'repreve recycled polyester', 'percentage': 35.0, 'material_class': ['polyester']}, {'material_full': 'polyester', 'percentage': 15.0, 'material_class': ['polyester']}], 'Weight': 120, 'Test_pc': True}, 'Mesh_0': {'Materials': [{'material_full': 'polyester', 'percentage': 100.0, 'material_class': ['polyester']}], 'Weight': 367, 'Test_pc': True}, 'Pocket lining_0': {'Materials': [{'material_full': 'polyester', 'percentage': 100.0, 'material_class': ['polyester']}], 'Weight': 215, 'Test_pc': True}}};main 100% polyamide, 220 g/m2. reinforcement 100% polyamide cordura®, 205 g/m2. lining 100% solution dyed polyamide 65 g/m2. cuff stretch 90% polyester 10% elastane, 253 g/m2. insulation 50% 37.5® polyester, 35% repreve® recycled polyester, 15% polyester, 120 g/m2. mesh 100% polyester, 367 g/m2. pocket lining 100% polyester, 215 g/m2.;336;True;main_0 100% polyamide, 220 g/m2. reinforcement_0 100% polyamide cordura, 205 g/m2. lining_0 100% solution dyed polyamide, 65 g/m2. cuff stretch_0 90% polyester, 10% elastane, 253 g/m2. insulation_0 50% 37.5 polyester, 35% repreve recycled polyester, 15% polyester, 120 g/m2. mesh_0 100% polyester, 367 g/m2. pocket lining_0 100% polyester, 215 g/m2.;349;0;0
9;#1112;JACKET;"Main: 100% Recycled Polyamide, 175 gr. 
Reinforcement: 100% CORDURA® Polyamide, 190 gr. Insulation: 90% REPREVE® recycled polyester, 10% Recycled Polyester, 120 gr in body and sleeves.                                                            
Lining: 100% Polyamide. ";JACKET;True;"Main: 100% Recycled Polyamide, 175 gr. 
Reinforcement: 100% CORDURA® Polyamide, 190 gr. Insulation: 90% REPREVE® recycled polyester, 10% Recycled Polyester, 120 gr in body and sleeves.                                                            
Lining: 100% Polyamide. ";{'default': {'Main_0': {'Materials': [{'material_full': 'recycled polyamide', 'percentage': 100.0, 'material_class': ['polyamide']}], 'Weight': 175, 'Test_pc': True}, 'Reinforcement_0': {'Materials': [{'material_full': 'cordura polyamide', 'percentage': 100.0, 'material_class': ['polyamide']}], 'Weight': 190, 'Test_pc': True}, 'Insulation_0': {'Materials': [{'material_full': 'repreve recycled polyester', 'percentage': 90.0, 'material_class': ['polyester']}, {'material_full': 'recycled polyester in body and sleeves', 'percentage': 10.0, 'material_class': ['polyester']}], 'Weight': 120, 'Test_pc': True}, 'Lining_0': {'Materials': [{'material_full': 'polyamide', 'percentage': 100.0, 'material_class': ['polyamide']}], 'Weight': None, 'Test_pc': True}}};main 100% recycled polyamide, 175g/m2 reinforcement 100% cordura® polyamide, 190g/m2 insulation 90% repreve® recycled polyester, 10% recycled polyester, 120g/m2 in body and sleeves. lining 100% polyamide.;204;True;main_0 100% recycled polyamide, 175 g/m2. reinforcement_0 100% cordura polyamide, 190 g/m2. insulation_0 90% repreve recycled polyester, 10% recycled polyester in body and sleeves, 120 g/m2. lining_0 100% polyamide.;215;0;1
